KÜNYE BİLGLERİ;;;;;;;;;;;;;;;;;YATIRIM BİLGLERİ;;;;;;;;;;;;;;;;;İSTİHDAM;;ÜRÜN BİLGLERİ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DESTEK UNSURLARI;;;;;;;;;;;;;;;;ÖZEL ŞARTLAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;FİNANSAL BİLGLER;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YATIRIMCI;;;;;;BELGE BİLGLERİ;;;;;;;;;;;YATIRIM İLE İLGİLİ BİLGLER;;;;;;;;;;;;;;;;;İSTİHDAM;;ÜRÜN BİLGLERİ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DESTEK UNSURLARI;;;;;;;;;;;;;;;;ÖZEL ŞARTLAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;FİNANSAL BİLGLER;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GM ID;TALEP/SONUÇ;REVIZE ID;FIRMA ID;YATIRIMCI UNVAN;SGK SİCİL NO;BELGE ID;BELGE NO;BELGE TARIHI;BELGE MURACAAT TARIHI;MÜRACAAT SAYISI;BELGE BASLAMA TARIHI;BELGE BITIS TARIHI;SÜRE UZATIM TARİHİ;ÖZELLİKLİ YATIRIM İSE;DAYANDIĞI KANUN;BELGE DURUMU;2-YATIRIM KONUSU;3-CINSI(1);3-CINSI(2);3-CINSI(3);3-CINSI(4);DESTEK SINIFI;YERI IL;YERI ILCE;ADA;PARSEL;YATIRIM ADRESI(1);YATIRIM ADRESI(2);YATIRIM ADRESI(3);OSB ISE MUDURLUK;İL BAZLI BÖLGE;İLÇE BAZLI BÖLGE;SERBEST BÖLGE;Mevcut Kişi;İlave Kişi;NACE (1);Ürün(1);Mevcut(1);İlave(1);Toplam(1);Kapsite Birimi(1);NACE (2);Ürün(2);Mevcut(2);İlave(2);Toplam(2);Kapsite Birimi(2);NACE (3);Ürün(3);Mevcut(3);İlave(3);Toplam(3);Kapsite Birimi(3);NACE (4);Ürün(4);Mevcut(4);İlave(4);Toplam(4);Kapsite Birimi(4);NACE (5);Ürün(5);Mevcut(5);İlave(5);Toplam(5);Kapsite Birimi(5);NACE (6);Ürün(6);Mevcut(6);İlave(6);Toplam(6);Kapsite Birimi(6);NACE (7);Ürün(7);Mevcut(7);İlave(7);Toplam(7);Kapsite Birimi(7);NACE (8);Ürün(8);Mevcut(8);İlave(8);Toplam(8);Kapsite Birimi(8);NACE (9);Ürün(9);Mevcut(9);İlave(9);Toplam(9);Kapsite Birimi(9);Destek Unusrları(1);Şartları(1);Destek Unusrları(2);Şartları(2);Destek Unusrları(3);Şartları(3);Destek Unusrları(4);Şartları(4);Destek Unusrları(5);Şartları(5);Destek Unusrları(6);Şartları(6);Destek Unusrları(7);Şartları(7);Destek Unusrları(8);Şartları(8);Özel Şart Kısaltma 1;Özelşart Notu 1;Özel Şart Kısaltma 2;Özelşart Notu 2;Özel Şart Kısaltma 3;Özelşart Notu 3;Özel Şart Kısaltma 4;Özelşart Notu 4;Özel Şart Kısaltma 5;Özelşart Notu 5;Özel Şart Kısaltma 6;Özelşart Notu 6;Özel Şart Kısaltma 7;Özelşart Notu 7;Özel Şart Kısaltma 8;Özelşart Notu 8;Özel Şart Kısaltma 9;Özelşart Notu 9;Özel Şart Kısaltma 10;Özelşart Notu 10;Özel Şart Kısaltma 11;Özelşart Notu 11;Özel Şart Kısaltma 12;Özelşart Notu 12;Özel Şart Kısaltma 13;Özelşart Notu 13;Özel Şart Kısaltma 14;Özelşart Notu 14;Arazi-Arsa Bedeli Açıklama;Metrekaresi;Birim Fiyatı TL;ARAZİ ARSA BEDELİ;Bina İnşaat Gideri Açıklama;Ana Bina ve Tesisleri;Yardımcı İş. Bina ve Tesisleri;İdare Binaları;TOPLAM BİNA İNŞAAT GİDERİ;Yardımcı İşl. Mak. Teç. Gid.;İthalat ve Güm.Giderleri;Taşıma ve Sigorta Giderleri;Montaj Giderleri;Etüd ve Proje Giderleri;Diğer Giderleri;TOPLAM DİĞER YATIRIM HARCAMALARI;TOPLAM SABİT YATIRIM TUTARI TL;İthal;Yerli;Toplam Makine Teçhizat;Yeni Makine;Kullanılmış Makine;TOPLAM İTHAL MAKİNE ($);Toplam Yabancı Kaynak;Öz kaynak;TOPLAM FİNANSMAN;REVIZE TARIHI;TALEP TARİHİ;SONUÇ TARİHİ
;;;;BAŞARI PLASTİK GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;;1106317;604372;4/1/26;12/31/25;106063;12/31/25;12/31/28;12/31/28;HAYIR;2025/9903;AKTİF;2226;TEVSİ;;;;;ÇANKIRI;ŞABANÖZÜ;386;4;Şabanözü OSB Yeni OSB Mah. 3. Cad. No:!2;;;ŞABANÖZÜ O.S.B.;;;;15;45;22.26.01;Muhtelif Plastik Mutfak Eşyası;2400248;5000000;7400248;KG/YIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vergi İndirimi;%60, YKO %20;Sigorta Primi İşveren Hissesi;12 Yıl;Gümrük Vergisi Muafiyeti;;KDV İstisnası;;;;;;;;;;Yeni Belge - Diğer Kurum;Bu Karar kapsamındaki destek unsurlarından yararlanan yatırımlar, diğer kamu kurum ve kuruluşlarının desteklerinden yararlanamaz. Diğer kamu kurum ve kuruluşlarının desteklerinden yararlanılan veya yararlanılacak yatırımlar için, bu Karar kapsamındaki desteklerden yararlanmak üzere Bakanlığa müracaat edilemez. Bu madde hükmüne aykırı davranılması halinde, bu Karar kapsamında yararlanılan destekler ilgili mevzuat çerçevesinde geri alınır. Ancak, diğer kamu kurum ve kuruluşlarının sadece sübvansiyonlu kredi desteğinden veya yatırım kapsamında kullanılan krediyle ilgili başka bir desteğinden yararlanan yatırımlar, söz konusu krediye bu Karar kapsamında yer alan faiz veya kâr payı desteği veya makine desteği sağlanmaması kaydıyla, bu Karar kapsamındaki diğer destek unsurlarından yararlandırılabilir.;Yeni Belge - Faaliyet Zorunluluğu;Belge kapsamı yatırımın, destek süresi boyunca bulunduğu bölgede faaliyette bulunması gerekmektedir.;ASGARİ YATIRIM TUTARI ŞARTI;2025/9903 sayılı Karar gereğince, yatırım teşvik belgesine konu yatırım kapsamında, asgari 100 milyon TL. (KDV hariç) tutarında yatırım harcamasının gerçekleştirilmesi ve tamamlama vizesi esnasında firma tarafından sunulacak belgeler ile bu şartın tevsik edilmesi gerekmektedir.;İşyeri Açma ve Çalışma Ruhsatı;Firma, yatırım tamamlama vizesi aşamasında İşyeri Açma ve Çalışma Ruhsatını tevsik edecektir.;9903 - Alt Bölge - OSB / Endüstri;Belge kapsamı yatırımın Organize Sanayi / Endüstri Bölgesinde yapılması nedeniyle 9903 sayılı kararın 22. maddesine istinaden sigorta primi işveren hissesi desteği için bir alt bölge olan 6. bölge desteği öngörülmüştür.;SGK - Bakanlıkça 6 Bölge Tamamı Karşılama;Sigorta primi işveren hissesi ve sigorta primi desteğinin asgari ücrete tekabül eden kısmının tamamı Bakanlık tarafından karşılanır.;SGK – 6. Bölge Tamamlama vizesi ve belgeye işleme;Tamamlama vizesi yapılmadan ve SGK iş yeri sicil numarası teşvik belgesine kaydettirilmeden Sigorta Primi ve Sigorta Primi İşveren Hissesi Desteği uygulanmaz.;Faiz - Hedef Yatırımlar {4, 5 ve 6.Bölge};Sabit yatırım tutarının %70’ine kadar kullanılacak yatırım kredileri için ödenecek faiz veya kâr payı desteği, 12,5 puanı geçmemek üzere kredi kullanım tarihinde veya vade tarihinde geçerli olan TCMB’nin bir hafta vadeli repo ihale faiz oranının %25’ine tekabül eden puanı üzerinden ödenir ve sabit yatırım tutarının %10`unu aşmamak kaydıyla 12 milyon TL’yi geçemez. Kullanılmış komple tesis veya kullanılmış makine ve teçhizat, vergi indirimi, makine desteği ve faiz veya kâr payı desteğinden faydalanamaz. Kullanılacak döviz kredisinin faiz veya kâr payı oranının %50’si aşılmamak kaydı ile ödenecek faiz veya kâr payının 1 puanı dikkate alınarak faiz veya kâr payı desteği ödemesi yapılır.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40384036;74000000;114384036;913966;;;110000000;4384036;114384036;4/2/26;3/24/26;4/1/26
