;;;;
;;;;
;;;;
;24 Kimyasal Madde;;;
;29 B.Y.S. Makine ve Teçhizat;;;
;31 B.Y.S. Elektrikli Makine Ve Cihazlar;;;
;34 Motorlu Kara Taşıtları;;;
;352 Demiryolu ve Tramvay Lokomotifleri ile Vagonlarının ;;;
;359 B.Y.S. Ulaşım Araçları;;;
