,
Kod,Tanım
0140.2.05,Kuluçkahane faaliyetleri
0150.0.00,"Avcılık, tuzakla avlama, av hayvanları üreticiliği ve ilgili hizmetler"
0200.1.01,Orman asli ürünleri
0200.1.02,Odun dışı ürünler ve orman tali ürünleri
0200.2.01,Fidan ve tohum üretimi
0200.2.02,Fidanlık ve tohum hizmetleri
0200.2.03,Ağaç yetiştiriciliği
0200.2.04,Orman yetiştirme ve bakım faaliyetleri
0200.2.05,Orman koruma faaliyetleri
0200.2.06,Yol yapım ve bakım faaliyetleri
0200.2.07,Üretimle ilgili hizmetler
0200.2.08,Orman amenajman faaliyetleri
0500.0.01,Deniz balıkları avcılığı
0500.0.02,Kabuklu ve yumuşakça avcılığı
0500.0.03,İç su ürünleri avcılığı
0500.0.04,Su ürünleri yetiştiriciliği
0500.0.05,İnciler
0500.0.06,Süs (akvaryum) balıkçılığı (üretim)
0500.0.07,Su ürünleri ile ilgili hizmetler
1010.0.00,Taşkömürü
1020.0.01,Linyit
1020.0.02,Asfaltit
1030.0.00,Turba
1110.0.01,Ham petrol
1110.0.02,Doğalgaz
1110.0.03,"Doğalgazın, ulaştırma amacıyla sıvılaştırılması veya tekrar gaz hale getirilmesi"
1110.0.04,Bitümenli veya yağlı şist ile katranlı kumlar
1120.0.01,Petrol ve gaz çıkarımıyla ilgili sondaj hizmetleri
1120.0.02,"Petrol ve gaz çıkarımıyla ilgili vinç kurma, onarım ve sökme hizmetleri"
1200.0.01,Uranyum
1200.0.02,Toryum
1310.0.00,Demir
1320.0.01,Krom
1320.0.02,Bakır
1320.0.03,Boksit
1320.0.04,Civa
1320.0.05,Antimon
1320.0.06,Manganez
1320.0.07,Volfram
1320.0.08,Çinko; oksitli Çinko
1320.0.09,Sülfürlü Çinko
1320.0.10,Kurşun-çinko; oksitli kurşun-çinko
1320.0.11,Sülfürlü kurşun-çinko
1320.0.12,Molibden
1320.0.13,Gümüş
1320.0.14,Nikel
1320.0.15,Kalay
1320.0.16,Kobalt
1320.0.17,Tantal
1320.0.18,Altın
1320.0.19,Platin
1320.0.20,Vanadyum
1320.0.21,Kurşun
1410.1.01,Mermer
1410.1.02,Yapı taşları
1410.1.03,Granit
1410.1.04,Gre
1410.1.05,Bazalt taşı
1410.1.06,Kireçtaşı (Kalker)
1410.1.07,Marn
1410.1.08,Tras taşı
1410.2.01,Alçıtaşı
1410.2.02,Tebeşir
1410.2.03,Dolamit
1410.3.01,Kayağantaşı
1410.4.01,Doğal kumlar
1410.4.02,Silis kumu
1410.4.03,Vollastonit
1410.4.04,"Çakıltaşı, çakıl, yuvarlak çakıl ve çakmaktaşı"
1410.4.05,"Mermer granülleri, parça ve tozları ( Mermer molozu )"
1410.4.06,Cüruf; katranlı makadam
1410.5.01,Kaolin
1410.5.02,Kil
1410.5.03,Bentonit
1410.5.04,Şiferton kil
1410.5.05,İnşaat için kullanılan diğer killer
1410.5.06,"Andaluzit, siyanit ve silimanit"
1410.5.07,Şamot toprağı
1421.0.01,Fosfat
1421.0.02,Karnalit siluit ve diğer ham tabii potasyum tuzları
1421.0.03,Kükürt
1421.0.04,Bor
1421.0.05,Pirit (bakırlı)
1421.0.06,Barit (baryum sülfat)
1421.0.07,Whitherite (baryum karbonat )
1421.0.08,"Tabii kriolit, tabii şiolit"
1421.0.09,Fluorid
1421.0.10,"Kieserit , epsomit (tabii magnezyum sülfat)"
1421.0.11,Toprak boyalar
1421.0.12,Sodyum sülfat
1421.0.13,Stransiyum
1421.0.14,Alünit
1421.0.15,Zeolit
1422.0.01,Kaya tuzu
1422.0.02,Gül tuzu
1422.0.03,Deniz tuzu
1422.0.04,Kaynak tuzu
1429.0.01,Doğal bitümen ve asfaltlı kayalar
1429.0.02,"Tasnif edilmemiş elmaslar, sanayide kullanılmayan işlenmemiş veya basit bir şekilde yarılmış veya yontulmuş"
1429.0.03,İşlenmemiş kıymetli (elmas hariç) veya yarı kıymetli taşlar ile diğer doğal aşındırıcılar
1429.0.04,Sanayide kullanılan işlenmemiş basitçe kesilmiş yarılmış veya yontulmuş elmaslar
1429.0.05,Amyant
1429.0.06,Grafit
1429.0.07,Zımpara
1429.0.08,Lületaşı
1429.0.09,Kalsedon
1429.0.10,Pomzataşı
1429.0.11,Kalsit
1429.0.12,Manyezit
1429.0.13,Perlit
1429.0.14,Talk
1429.0.15,Diatomit
1429.0.16,Vermikulit
1429.0.17,Mika
1429.0.18,Diğer cüruf ve küller
1429.0.19,Feldispat
