Kod,Tanım
23.11,Düz cam imalatı
23.11.01,"Düz cam imalatı (telli, buzlu cam, renkli veya boyalı düz cam dahil) (dökülmüş, haddelenmiş, çekilmiş, üflenmiş, float, yüzeyi parlatılmış veya cilalanmış ancak başka şekilde işlenmemiş olanlar)"
23.12,Düz camın şekillendirilmesi ve işlenmesi
23.12.01,Cam ayna imalatı
23.12.02,Sertleştirilmiş emniyet camı ve temperli düz cam imalatı (oto camı dahil)
23.12.03,Çok katlı yalıtım camları imalatı
23.12.04,"Levha veya tabaka halinde işlenmiş cam imalatı (kavislendirilmiş, kenarları işlenmiş, gravür yapılmış, delinmiş, emaylanmış/sırlanmış veya başka bir şekilde işlenmiş, fakat çerçevelenmemiş veya monte edilmemiş olanlar) (optik camlar dahil)"
23.13,Çukur cam imalatı
23.13.01,"Camdan şişe, kavanoz ve diğer muhafaza kapları, bardaklar, termos ve diğer vakumlu kapların camdan yapılmış iç yüzeyleri ile camdan sofra ve mutfak eşyaları imalatı (ampuller hariç)"
23.13.02,"Tuvalet, banyo, büro, iç dekorasyon, vb. amaçlarla kullanılan cam ve kristal eşya imalatı (camdan biblo, boncuk vb. küçük cam eşyalar hariç)"
23.14,Cam elyafı imalatı
23.14.01,Cam elyafı imalatı (cam yünü ve bunlardan yapılmış dokuma dışı ürünler dahil)
23.15,Diğer camların imalatı ve işlenmesi (teknik amaçlı cam eşyalar dahil)
23.15.01,"Laboratuvar, hijyen veya eczacılık ile ilgili cam eşyalar ile cam ampullerin (serum ampulleri) imalatı (ambalajlama ve taşımada kullanılanlar hariç)"
23.15.02,"Lamba ve aydınlatma teçhizatının, ışıklı işaretlerin, isim tabelalarının vb.nin cam parçalarının imalatı (cam tabelaların imalatı dahil)"
23.15.03,"Sıkıştırılmış veya kalıplanmış camdan döşeme blokları, tuğlalar, karolar ve diğer ürünler, kurşunlu lambalar ve benzerleri, blok, plaka veya benzer şekillerdeki gözenekli, köpüklü camların imalatı (vitray cam hariç)"
23.15.04,"Küçük cam eşya imalatı (biblo, vb. süs eşyası, boncuklar, imitasyon inciler/taşlar, imitasyon mücevherler, vb. dahil)"
23.15.05,Vitray cam imalatı
23.15.06,Camdan elektrik izolasyon malzemesi imalatı
23.15.07,"Cam zarflar (açık) ve bunların cam parçalarının imalatı (elektrik ampulleri, elektrik lambaları, katot ışınlı tüpler vb. için kullanılan)"
23.15.08,"Duvar saati, kol saati veya gözlük için camlar (bombeli, kavisli, içi oyuk vb. şekilde fakat, optik açıdan işlenmemiş) ile bu tür camların imalatı için kullanılan içi boş küre ve bunların parçalarının imalatı"
23.15.99,Başka yerde sınıflandırılmamış diğer cam ürünlerin imalatı ve işlenmesi (düz camdan yapılmış akvaryumların imalatı dahil)
23.2,Ateşe dayanıklı (refrakter) ürünlerin imalatı
23.20,Ateşe dayanıklı (refrakter) ürünlerin imalatı
23.20.16,"Silisli süzme topraktan (kizelgur) ısı yalıtımlı seramik ürünler ile ateşe dayanıklı briket, blok, tuğla, ateş tuğlası, vb. ateşe dayanıklı seramik yapı ürünleri imalatı"
23.20.17,"Ateşe dayanıklı imbikler, damıtma kabı, eritme potası, vana ucu, tüp, boru, döküm potaları, mufl ocağı, püskürtme tüpleri vb. seramik ürünlerin imalatı"
23.20.19,Ateşe dayanıklı çimento imalatı
23.20.20,"Ateşe dayanıklı çamur, harç, beton vb. imalatı"
23.3,Kilden inşaat malzemeleri imalatı
23.31,Seramik karo ve kaldırım taşları imalatı
23.31.01,Seramik karo ve kaldırım taşları imalatı (mozaik taşı ve mozaik küpleri dahil) (ateşe dayanıklı olanlar hariç)
23.32,"Fırınlanmış kilden tuğla, karo ve inşaat malzemeleri imalatı"
23.32.02,"Fırınlanmış, ateşe dayanıklı olmayan kil ve topraktan baca künkleri ve başlıkları, şömine ve baca boruları, oluklar ve bağlantı parçaları ile karo vb. inşaat malzemeleri imalatı (seramikten oluklar, borular ve bağlantı parçaları dahil) (tuğla ve kiremit hariç)"
23.32.03,"Fırınlanmış, ateşe dayanıklı olmayan kil ve topraktan tuğla ve kiremit imalatı"
23.4,Diğer porselen ve seramik ürünlerin imalatı
23.41,Seramik ev ve süs eşyaları imalatı
23.41.01,"Seramik veya porselenden sofra takımları (tabak, bardak, fincan, vb.) ve diğer ev ve tuvalet eşyasının imalatı (çiniden olanlar ve sıhhi ürünler hariç)"
23.41.02,"Seramik ve porselenden heykelcik, vazo, biblo, vb. süs eşyası imalatı (oyuncaklar hariç)"
23.41.03,"Çiniden sofra takımı, ev, tuvalet ve süs eşyası imalatı (çinicilik) (çini dekoru dahil)"
23.41.04,"Topraktan güveç, çanak, çömlek, küp, vazo, vb. eşyalar ile topraktan heykel vb. süs ve dekoratif eşya imalatı (porselen ve çiniden olanlar ile malların ambalajlanması ve taşınması için olanlar hariç)"
23.42,Seramik sıhhi ürünlerin imalatı
23.42.01,Seramik sıhhi ürünlerin imalatı
23.43,Seramik yalıtkanların (izolatörlerin) ve yalıtkan bağlantı parçalarının imalatı
23.43.01,Seramik yalıtkanların (izolatörlerin) ve yalıtkan bağlantı parçalarının imalatı
23.44,Diğer teknik seramik ürünlerin imalatı
23.44.01,"Diğer teknik seramik ürünlerin imalatı (laboratuvar, kimyasal ve diğer teknik alanlarda kullanılan seramikten ürünler) (ateşe dayanıklı seramik ürünler hariç)"
23.45,Diğer seramik ürünlerin imalatı
23.45.01,Tarımsal amaçlı olanlar ile malların taşınması ya da ambalajlanması için kullanılan seramik ürünlerin imalatı
23.45.99,Başka yerde sınıflandırılmamış yapı işlerinde kullanılmayan diğer seramik eşyaların imalatı (dekoratif amaçlı olmayan seramik saksılar dahil)
23.5,"Çimento, kireç ve alçı imalatı"
23.51,Çimento imalatı
23.51.01,Çimento imalatı
23.52,Kireç ve alçı imalatı
23.52.01,"Sönmemiş kireç, sönmüş kireç ve suya dayanıklı kireç imalatı"
23.52.02,Sönmüş alçıtaşından ya da sönmüş sülfattan alçı imalatı
23.52.03,Yanmış (kalsine edilmiş) veya aglomera edilmiş dolomit imalatı
23.6,"Beton, çimento ve alçıdan yapılmış eşyaların imalatı"
23.61,İnşaat amaçlı beton ürünlerin imalatı
23.61.01,"Çimentodan, betondan veya suni taştan prefabrik yapı elemanları imalatı (gazbetondan ve kireç taşından olanlar dahil)"
23.61.02,"Çimentodan, betondan veya suni taştan karo, döşeme taşı, kiremit, tuğla, boru, vb. inşaat amaçlı ürünlerin imalatı"
23.61.03,Betondan yapılmış prefabrik yapıların imalatı
23.62,İnşaat amaçlı alçı ürünlerin imalatı
23.62.01,İnşaat amaçlı alçı ürünlerin imalatı
23.63,Hazır beton imalatı
23.63.01,Hazır beton imalatı
23.64,Toz harç imalatı
23.64.01,Toz harç imalatı
23.65,Lif ve çimento karışımlı ürünlerin imalatı
23.65.02,Lif ve çimento karışımlı ürünlerin imalatı
23.66,"Beton, çimento ve alçıdan diğer eşyaların imalatı"
23.66.00,"Beton, çimento ve alçıdan diğer eşyaların imalatı"
23.7,"Taş ve mermerin kesilmesi, şekil verilmesi ve bitirilmesi"
23.70,"Taş ve mermerin kesilmesi, şekil verilmesi ve bitirilmesi"
23.70.01,"Taş ve mermerin kesilmesi, şekil verilmesi ve bitirilmesi (doğal taşlardan, mermerden, su mermerinden, travertenden, kayağantaşından levha/tabaka, kurna, lavabo, karo, kaldırım taşı, yapı taşı, mezar taşı, vb. imalatı dahil, süs eşyası hariç)"
23.70.02,"Doğal taşlardan, mermerden, su mermerinden, travertenden, kayağantaşından süs eşyası imalatı (lületaşı, kehribar ve benzerlerinden olanlar dahil)"
23.9,Aşındırıcı ürünlerin ve başka yerde sınıflandırılmamış metalik olmayan mineral ürünlerin imalatı
23.91,Aşındırıcı ürünlerin imalatı
23.91.01,"Aşındırıcı ürünlerin imalatı (değirmen taşları, bileği taşı, zımpara taşı vb.)(dokuma tekstil kumaşlarına, kağıt ve mukavvaya tutturulmuş zımparalar hariç)"
23.91.02,"Dokuma tekstil kumaşlarına, kağıt ve mukavvaya tutturulmuş olan zımparaların imalatı"
23.99,Başka yerde sınıflandırılmamış metalik olmayan diğer mineral ürünlerin imalatı
23.99.01,Asfalttan ve benzeri malzemelerden yapılan ürünlerin imalatı (çatı yapımında veya su yalıtımında kullanılan bitüm esaslı keçeler dahil)
23.99.02,"Mineral ses/ısı izolasyon malzemelerinin imalatı (cüruf yünleri, taş yünü, madeni yünler, pul pul ayrılmış vermikulit, genleştirilmiş kil, soğuk tandiş plakası, vb. ısı ve ses yalıtım malzemeleri)"
23.99.03,"İşlenmiş asbest (amyant) lifleri, asbest ve magnezyum karbonat esaslı karışımlar, bu karışımlardan veya asbestten yapılan ürünler, fren, debriyaj ve benzerleri için monte edilmemiş sürtünme malzemeleri (fren balatası vb.) imalatı"
23.99.05,"Bitümlü karışımların imalatı (doğal veya suni taştan malzemeler ile bir bağlayıcı olarak bitüm, doğal asfalt veya ilgili maddelerin karıştırılmasıyla elde edilenler)"
23.99.07,Amyantlı kağıt imalatı
23.99.09,Suni korindon imalatı
23.99.99,Başka yerde sınıflandırılmamış metal dışı minerallerden ürünlerin imalatı
24,Ana metal sanayii
24.1,Ana demir ve çelik ürünleri ile ferro alaşımların imalatı
24.10,Ana demir ve çelik ürünleri ile ferro alaşımların imalatı
24.10.01,Ham çelik üretilmesi
24.10.02,"Çelikten açık profil imalatı (sıcak haddeleme, sıcak çekme veya kalıptan çekme işlemlerinden daha ileri işlem görmemiş)"
24.10.03,"Demir ve çelikten sıcak veya soğuk çekilmiş yassı hadde ürünleri imalatı (demir veya çelik alaşımlı levha, şerit, sac, teneke sac, vb. dahil)"
24.10.05,Sıcak haddelenmiş demir veya çelikten bar ve çubukların üretilmesi (inşaat demiri dahil)
24.10.06,Demir veya çelik granül ve demir tozu üretilmesi
24.10.07,Demir ya da çelik hurdaların yeniden eritilmesi
24.10.08,Demir cevherinin doğrudan indirgenmesiyle elde edilen demirli ürünler ve diğer sünger demir ürünlerinin imalatı ile elektroliz veya diğer kimyasal yöntemlerle istisnai saflıkta demir üretilmesi
24.10.09,"Çelikten demir yolu ve tramvay yolu yapım malzemesi (birleştirilmemiş raylar ile ray donanımı, aksamı, vb.) ile levha kazıkları (palplanş) ve kaynaklı açık profil imalatı"
24.10.10,"Pik demir ve manganezli dökme demir (aynalı demir/spiegeleisen) üretimi (külçe, blok, veya diğer birincil formlarda)"
24.10.12,"Ferro alaşımların imalatı (ferro manganez, ferro silisyum, ferro siliko manganez, ferro krom ve diğerleri)"
24.2,"Çelikten tüpler, borular, içi boş profiller ve benzeri bağlantı parçalarının imalatı"
24.20,"Çelikten tüpler, borular, içi boş profiller ve benzeri bağlantı parçalarının imalatı"
24.20.09,"Çelikten/demirden yapılmış tüp, boru, içi boş profiller ve ilgili bağlantı parçalarının imalatı (sıcak çekilmiş veya sıcak haddelenmiş)"
24.20.10,"Çelikten/demirden yapılmış tüp, boru, içi boş profiller ve ilgili bağlantı parçalarının imalatı (soğuk çekilmiş veya soğuk haddelenmiş)"
24.3,Çeliğin ilk işlenmesinde elde edilen diğer ürünlerin imalatı
24.31,Barların soğuk çekilmesi
24.31.01,Barların soğuk çekilmesi
24.32,Dar şeritlerin soğuk haddelenmesi
24.32.01,Dar şeritlerin soğuk haddelenmesi
24.33,Soğuk şekillendirme veya katlama
24.33.01,Soğuk şekillendirme veya katlama
24.34,Tellerin soğuk çekilmesi
24.34.01,Tellerin soğuk çekilmesi
24.4,Değerli ana metaller ve diğer demir dışı metallerin imalatı
24.41,Değerli metal üretimi
24.41.16,"İşlenmemiş, yarı işlenmiş, toz halde altın imalatı ile gümüş veya adi metallerin altınla preslenerek kaplanması (Mücevher ve benzeri eşyaların imalatı hariç)"
24.41.17,"İşlenmemiş, yarı işlenmiş, toz halde gümüş imalatı ile adi metallerin gümüşle preslenerek kaplanması (Mücevher ve benzeri eşyaların imalatı hariç)"
24.41.18,"İşlenmemiş, yarı işlenmiş, toz halde platin imalatı ile altın, gümüş veya adi metallerin platinle preslenerek kaplanması (paladyum, rodyum, osmiyum ve rutenyum imalatı ile platin katalizör imalatı dahil) (Mücevher ve benzeri eşyaların imalatı hariç)"
24.41.19,Değerli metal alaşımlarının imalatı (Mücevher ve benzeri eşyaların imalatı hariç)
24.42,Alüminyum üretimi
24.42.16,Alüminyum folyo imalatı (alaşımdan olanlar dahil)
24.42.17,Alüminyum imalatı (işlenmemiş halde)
24.42.18,"Alüminyum sac, levha, tabaka, şerit imalatı (alaşımdan olanlar dahil)"
24.42.20,Alüminyum oksit imalatı (suni korindon hariç) (alümina)
24.42.21,"Alüminyum bar, çubuk, tel ve profil, tüp, boru ve bağlantı parçaları imalatı (alaşımdan olanlar dahil)"
24.43,"Kurşun, çinko ve kalay üretimi"
24.43.01,"Kurşun tabaka, levha, şerit, folyo, kurşun tozu ve pulu imalatı (alaşımdan olanlar dahil)"
24.43.02,Kurşun imalatı (işlenmemiş)
24.43.04,"Kalay bar, çubuk, profil, tel, vb. imalatı (alaşımdan olanlar dahil)"
24.43.05,Kalay imalatı (işlenmemiş halde)
24.43.06,Çinko imalatı (işlenmemiş halde)
24.43.07,"Çinko bar, çubuk, profil, tel vb. imalatı (alaşımdan olanlar dahil)"
24.43.08,"Çinko sac, tabaka, levha, şerit, folyo, çinko tozları, vb. imalatı (alaşımdan olanlar dahil)"
24.44,Bakır üretimi
24.44.01,"Bakır, bakır matı, bakır tozu, semente bakır, bakır anotu ile bakır ve bakır alaşımlarının imalatı"
24.44.03,"Bakır sac, tabaka, levha, şerit, folyo imalatı (alaşımdan olanlar dahil)"
24.44.04,"Bakırın çekilmesi ve haddelenmesi ile tüp, boru, bunların bağlantı elemanları, bar, çubuk, tel ve profil imalatı (alaşımdan olanlar dahil)"
24.45,Demir dışı diğer metallerin üretimi
24.45.01,"Maden cevherlerinden ya da oksitlerden işlenmemiş krom, manganez, nikel, tungsten, molibden, tantalum, kobalt, bizmut, titanyum, zirkonyum, berilyum, germanyum vb. imalatı (alaşımları dahil)(atık ve hurdalardan dahil)"
24.45.02,"Krom, manganez, tungsten, molibden, tantalum, kobalt, bizmut, titanyum, zirkonyum, berilyum, germanyum vb. diğer demir dışı metallerden yapılan ürünlerin imalatı (sermetler ve diğer ara ürünler dahil, nikelden olanlar hariç)"
24.45.06,"Nikel matları, nikel oksit sinterleri ve diğer ara ürünleri ile nikel bar, çubuk, profil, tel, levha, şerit, folyo, tüp, boru ve bağlantı parçaları imalatı"
24.46,Nükleer yakıtların işlenmesi
24.46.00,Nükleer yakıtların işlenmesi
24.5,Metal döküm sanayii
24.51,Demir döküm
24.51.13,Demir döküm
24.52,Çelik dökümü
24.52.20,Çelik dökümü
24.53,Hafif metallerin dökümü
24.53.01,Hafif metallerin dökümü
24.54,Diğer demir dışı metallerin dökümü
24.54.02,Değerli metallerin dökümü
24.54.90,Demir dışı diğer metallerin dökümü (değerli metallerin dökümü hariç)
25,Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç)
25.1,Metal yapı malzemeleri imalatı
25.11,Metal yapı ve yapı parçaları imalatı
25.11.06,"İnşaat ve inşaatın parçaları için metal çatı ya da iskeletlerin imalatı (kuleler, direkler, destekler, köprüler vb.) (kepenk ve yangın merdiveni ile prefabrik yapılar hariç)"
25.11.07,Metalden kepenk ve yangın merdiveni imalatı
25.11.08,Metalden prefabrik yapı imalatı
25.12,Metalden kapı ve pencere imalatı
25.12.04,"Alüminyum kapı, pencere, bunların kasaları, kapı eşiği, panjur, vb. imalatı"
25.12.05,"Çelik kapı, pencere, bunların kasaları, kapı eşiği, panjur, vb. imalatı"
25.12.06,"Demir kapı, pencere, bunların kasaları, kapı eşiği, panjur, vb. imalatı (bahçe kapıları dahil)"
25.2,"Metal tank, rezervuar ve muhafaza kapları imalatı"
25.21,"Merkezi ısıtma radyatörleri, buhar jeneratörleri ve sıcak su kazanlarının (boylerleri) imalatı"
25.21.10,Merkezi ısıtma radyatörleri imalatı (elektrikli radyatörler ile döküm olanlar hariç)
25.21.11,"Merkezi ısıtma kazanları (boyler) imalatı (kombi, kat kaloriferi ve diğer merkezi ısıtma kazanları,) (buhar jeneratörleri ve kızgın su üreten kazanlar hariç)"
25.21.12,"Merkezi ısıtma radyatörleri imalatı, döküm olanlar (elektrikli radyatörler hariç)"
25.21.13,"Buhar üretim kazanları (buhar jeneratörü), kızgın su kazanları (boyler), denizcilik veya enerji kazanları ile bunların parçaları ile kazanlar (boylerler) için yardımcı üniteler ve buhar veya diğer buhar güç üniteleri için kondansatör imalatı"
25.21.14,Nükleer reaktörler ve nükleer reaktör parçası imalatı (izotop ayırıcılar hariç)
25.22,"Metalden diğer tank, rezervuar ve konteynerler imalatı"
25.22.01,"Metalden rezervuarlar, tanklar, fıçılar ve benzeri kapasitesi > 300 litre olan konteynerlerin imalatı (sıkıştırılmış veya sıvılaştırılmış gazlar için olanlar ile mekanik veya termal ekipmanlı olanlar hariç)"
25.22.02,Sıkıştırılmış veya sıvılaştırılmış gaz için kullanılan metal konteynerlerin imalatı
25.3,Silah ve mühimmat (cephane) imalatı
25.30,Silah ve mühimmat (cephane) imalatı
25.30.03,"Tabanca, revolver (altıpatlar), av tüfeği, havalı tabanca, cop, vb. askeri amaçlı olmayan ateşli silahlar ve benzeri aletlerin ve bunların parçalarının imalatı"
25.30.04,"Askeri silah ve bunların parçalarının imalatı (büyük toplar, savaş araçları, füzeatarlar, torpil kovanları, ağır makineli tüfekler, vb.)"
25.30.05,"Bomba, füze ve benzeri savaş gereçleri, fişekler, diğer mermi ve mühimmatlar ile bunların parçalarının imalatı"
25.4,"Metallerin dövülmesi, şekil verilmesi ve toz metalürjisi"
25.40,"Metallerin dövülmesi, şekil verilmesi ve toz metalürjisi"
25.40.04,"Metallerin dövülmesi, preslenmesi, baskılanması ve damgalanması"
25.40.05,Toz metalürjisi
25.5,Metallerin işlenmesi ve kaplanması; makinede işleme
25.51,Metallerin kaplanması
25.51.01,Metallerin nikel ile kaplanması (nikelajcılık) faaliyeti
25.51.02,Metallerin kalay ile kaplanması (kalaycılık) faaliyeti
25.51.09,Metallerin diğer malzemelerle kaplanması (ısıl işlem hariç)
25.52,Metallerin ısıl işlemi
25.52.00,Metallerin ısıl işlemi
25.53,Metallerin makinede işlenmesi ve şekil verilmesi
25.53.01,"Metallerin makinede işlenmesi (torna tesfiye işleri, metal parçaları delme, tornalama, frezeleme, rendeleme, parlatma, oluk açma, perdahlama, birleştirme, kaynak yapma, çapak alma, kumlama, vb. faaliyetler)"
25.53.02,"CNC oksijen, CNC plazma, CNC su jeti vb. makinelerinin kullanılması yoluyla metallerin kesilmesi veya üzerlerinin yazılması"
25.53.03,Lazer ışınlarının kullanılması yoluyla metallerin kesilmesi veya üzerlerinin yazılması
25.6,Çatal-bıçak takımı ve diğer kesici aletler ile el aletleri ve genel hırdavat malzemeleri imalatı
25.61,Çatal-bıçak takımı ve diğer kesici aletlerin imalatı
25.61.04,"Kaşık, çatal, kepçe, kevgir, servis spatulası, şeker maşası ve benzeri mutfak gereçleri, sofra takımları, çatal bıçak takımları imalatı (balık bıçakları, kahvaltı ve meyve bıçakları dahil fakat, sofra bıçakları hariç)"
25.61.05,"Tıraş bıçakları, usturalar ile jiletler ve tıraş makinelerinin bıçaklarının imalatı"
25.61.06,"Sofra bıçakları (balık bıçakları, kahvaltı ve meyve bıçakları hariç), budama bıçakları, sustalı bıçaklar, satır,balta vb. bıçaklar (makineler için olanlar hariç) ile terzi makasları, vb. makaslar ve bunların ağızlarının imalatı"
25.61.07,"Manikür veya pedikür setleri ve aletleri, kağıt bıçakları, mektup açacakları, kalemtıraşlar ve bunların bıçakları, kırma, yarma ve kıyma bıçakları, saç kesme ve hayvan kırkma makine ve aletleri ile benzeri elektriksiz kesici aletlerin imalatı"
25.61.08,"Kılıç, pala, kasatura, mızrak, süngü, avcı bıçağı ve benzeri silahlar ile bunların parçalarının imalatı"
25.62,Kilit ve menteşe imalatı
25.62.04,Kilit ve menteşe imalatı
25.63,"El aletleri, takım tezgahı uçları, testere ağızları vb. imalatı"
25.63.01,Metalden kalıp ve döküm modeli imalatı (kek ve ayakkabı kalıpları hariç)
25.63.02,Plastikten kalıp ve döküm modeli imalatı (kek ve ayakkabı kalıpları hariç)
25.63.03,Ahşap ve diğer malzemelerden kalıp ve döküm modeli imalatı (kek ve ayakkabı kalıpları hariç)
25.63.04,"El aletleri, takım tezgahı uçları, testere ağızları, mengeneler, kıskaçlar, sıkıştırma anahtarları vb. imalatı (makineler veya mekanik cihazlar için değiştirilebilen uçlar dahil)"
25.9,Diğer fabrikasyon metal ürünlerin imalatı
25.91,Çelik varil ve benzer muhafazaların imalatı
25.91.01,Çelik varil ve benzer muhafazaların imalatı
25.92,Metalden hafif paketleme malzemeleri imalatı
25.92.01,"Demir veya çelikten yiyecek, içecek ve diğer ürünler için kapasitesi < 50 litre olan kutuların imalatı (lehim veya kıvrılarak kapatılanlar) (tenekeden olanlar dahil)"
25.92.02,Adi metalden dişli kapaklar (şişe kapağı vb.) ve tıpalar ile tıkaçlar ve kapakların imalatı
25.92.03,"Kapasitesi 300 lt.yi geçmeyen alüminyum varil fıçı, kova vb. imalatı (diş macunu, krem gibi kapaklı tüpler ve katlanabilir kutular ile aerosol kutuları dahil)"
25.93,"Tel ürünleri, zincir ve yayların imalatı"
25.93.01,"Metalden zincirler (mafsallı bağlantı zinciri hariç) ve parçaları ile yay ve yay yaprakları, kaplanmış veya nüveli teller, çubuklar, tüpler, levhalar ve elektrotların imalatı (elektrik işlerinde kullanılanlar ile elektrik yalıtımı olanlar hariç)"
25.93.02,"İğne, çengelli iğne, çuvaldız, örgü şişi, tığ, raptiye, çivi, vb. imalatı"
25.93.03,"Telden yapılan diğer ürünlerin imalatı (örgülü tel, örme şerit,örme halat, taşıma askısı, dikenli tel (elektrik yalıtımı olanlar hariç) ve demir, çelik veya bakır tellerden mensucat, ızgara, ağ, kafeslik ve çitler)"
25.94,Bağlantı malzemelerinin ve vida makinesi ürünlerinin imalatı
25.94.01,"Yivsiz bağlantı malzemeleri imalatı, demir, çelik veya bakırdan (rondelalar, perçinler, perçin çivileri, kamalı pimler, kopilyalar vb. ürünler)"
25.94.02,"Yivli bağlantı malzemeleri imalatı, demir, çelik veya bakırdan (vidalar, cıvatalar, somunlar vb. yivli ürünler)"
25.99,Başka yerde sınıflandırılmamış diğer fabrikasyon metal ürünlerin imalatı
25.99.01,"Demir, çelik ve alüminyumdan sofra ve mutfak eşyalarının imalatı (tencere, tava, çaydanlık, cezve, yemek kapları, bulaşık telleri vb.) (teflon, emaye vb. ile kaplanmışlar dahil, bakırdan olanlar hariç)"
25.99.02,"Metalden yapılmış eviye, lavabo, küvet, duş teknesi, jakuzi (emaye olsun ya da olmasın) ve diğer sıhhi ürünlerin imalatı"
25.99.03,"Zırhlı veya güçlendirilmiş kasalar, kasa daireleri, kilitli para kasaları, zırhlı kapılar vb. imalatı (adi metalden)"
25.99.04,"Adi metalden büro malzemeleri imalatı (dosya kutuları, kaşeler, zımba telleri, kağıt ataçları vb.)"
25.99.05,"Adi metalden tokalar, klipsli çanta sapları, kemer tokaları, kancalar, halkalar, kuş gözü halkalar ve benzerleri (giysi, ayakkabı, tente, el çantası, seyahat eşyası veya diğer hazır eşya için kullanılan türde) ile adi metallerden boru şeklinde veya çatallı perçinler; boncuklar vb. imalatı"
25.99.06,"Bakırdan sofra ve mutfak eşyası imalatı (cezve, tencere, çanak, tabak, ibrik vb.)"
25.99.08,"Metalden gemi ve tekne pervaneleri ve bunların aksamları ile çıpalar, filika demirleri vb. imalatı"
25.99.12,"Kalıba dökülerek yapılan zil, çan, gong vb. eşyalar ile adi metallerden kalıba dökülerek yapılan biblo, heykelcik ve diğer süs eşyası imalatı (bisiklet zilleri dahil ancak bakırdan olanlar ile mutfak eşyaları hariç)"
25.99.13,"Metalden çatı olukları, çatı kaplamaları vb. imalatı"
25.99.14,"Adi metallerden işaret levhaları ve tabelalar ile rakamlar, harfler ve diğer sembollerin imalatı (oto plakaları dahil, ışıklı olanlar hariç)"
25.99.15,"Kurşun tüp, boru ve bunların bağlantı parçaları ile kurşun bar, çubuk, profil, tel vb. imalatı (alaşımdan olanlar dahil)"
25.99.18,"Bakırdan yapılan biblolar, çerçeveler, aynalar ve diğer süsleme eşyaları ile süsleme işleri (mutfak eşyaları hariç)"
25.99.21,"Metalden elektriksiz hazneli döner bacaların, havalandırma kanallarının vb. imalatı"
25.99.99,Başka yerde sınıflandırılmamış diğer fabrikasyon metal ürünlerin imalatı
26,"Bilgisayarların, elektronik ve optik ürünlerin imalatı"
26.1,Elektronik bileşenlerin ve devre kartlarının imalatı
26.11,Elektronik bileşenlerin imalatı
26.11.04,"Diyotların, transistörlerin, diyakların, triyaklar, tristör, rezistans, ledler, kristal, röle, mikro anahtar, sabit veya ayarlanabilir direnç ve kondansatörler ile elektronik entegre devrelerin imalatı"
26.11.05,"Katot ışınlı görüntü tüpleri, televizyon kamerası tüpleri ve magnetronlar, klistronlar, mikrodalga tüpleri ve diğer valf tüplerinin, LCD ve plazma TV panelleri ve göstergelerin imalatı"
26.11.06,Çıplak baskılı devre kartlarının imalatı
26.11.99,Başka yerde sınıflandırılmamış diğer elektronik bileşenlerin imalatı
26.12,Yüklü elektronik kart imalatı
26.12.01,"Yüklü elektronik kart imalatı (yüklü baskılı devre kartları, ses, görüntü, denetleyici, ağ ve modem kartları ile akıllı kartlar vb.)"
26.2,Bilgisayar ve bilgisayar çevre birimleri imalatı
26.20,Bilgisayar ve bilgisayar çevre birimleri imalatı
26.20.01,Bilgisayar ve bilgisayar çevre birimleri imalatı
26.3,İletişim ekipmanlarının imalatı
26.30,İletişim ekipmanlarının imalatı
26.30.02,Radyo ve televizyon stüdyoları ve yayın teçhizatları ile radyo ve televizyon iletim cihazlarının imalatı (tv kameraları ve baz istasyonları dahil)
26.30.03,Kızıl ötesi (enfraruj) sinyal kullanan iletişim cihazlarının imalatı (örn: uzaktan kumanda cihazları)
26.30.05,"Alıcı ve verici antenlerin imalatı (harici, teleskopik, çubuk, uydu, çanak ve hava ve deniz taşıtlarının antenleri)"
26.30.06,"Kablolu ve kablosuz telefon, cep telefonu, kablolu görüntülü telefon, çağrı cihazı ve faks cihazı imalatı (telesekreter imalatı dahil)"
26.30.08,"Merkezi iletişim santral donanımları ile sayısal veya analog telefon-telgraf santrallerinin ve ağ geçitleri, köprüleri, yönlendiricileri gibi veri iletim donanımlarının imalatı (mors veya mors tipi kaydedici ve anahtarlar dahil)"
26.30.09,Hırsız ve yangın alarm sistemleri ve kapı konuşma sistemlerinin (diyafon) (görüntülü olanlar dahil) imalatı (motorlu kara taşıtları için alarm sistemleri hariç)
26.30.10,"Ses, görüntü veya diğer verilerin alınması, dönüştürülmesi, iletilmesi/yeniden oluşturulması için kullanılan diğer makinelerin imalatı (alıcısı/vericisi bulunan telgraf, teleks cihazları ile anahtarlama ve yönlendirme cihazları dahil)"
26.30.99,Başka yerde sınıflandırılmamış diğer iletişim ekipmanlarının imalatı
26.4,Tüketici elektroniği ürünlerinin imalatı
26.40,Tüketici elektroniği ürünlerinin imalatı
26.40.08,"Ses ve görüntü oynatıcı ve kaydedicileri, ev tipi video kameralar ve diğer görüntü kayıt veya görüntü çoğaltma cihazlarının imalatı"
26.40.09,Radyo ve televizyon imalatı (taşıtlarda kullanılanlar dahil)
26.40.10,"Mikrofon, hoparlör ve kulaklıklar ile elektrikli ses yükselteçlerinin (amplifikatörler) imalatı"
26.40.11,Monitörler ve projektörlerin imalatı (bilgisayar gibi bir otomatik veri işleme sisteminde kullanılmayanlar)
26.40.12,Video oyun ve konsollarının (televizyonla kullanılanlar ve kendi ekranı olanlar) imalatı
